key,en,ja,es
screen_loading,NOW LOADING,ロード中,CARGANDO
btn_start,START,スタート,INICIAR
btn_create_account,CREATE ACCOUNT,アカウント作成,CREAR CUENTA
tip_header,PRO TIP,プロのコツ,CONSEJO PRO
tip_next,TAP FOR NEXT TIP,タップで次のコツ,TOCA PARA SIGUIENTE
tip_club_bag,{gold}HOLD{/gold} THE CLUB BALL BUTTON TO ENTER YOUR BAGS IN-GAME,{gold}長押し{/gold}でバッグに入る,{gold}MANTÉN{/gold} EL BOTÓN DEL PALO PARA ACCEDER A TU BOLSA
tip_forecast,LANDING {gold}FORECAST{/gold} DOES NOT FACTOR THE BALL'S RUN OR WIND. COMPENSATE ACCORDINGLY,着地{gold}予測{/gold}はランや風を含まない。調整すること,EL {gold}PRONÓSTICO{/gold} NO CONSIDERA EL RECORRIDO NI EL VIENTO
tip_rarities,DIFFERENT {gold}RARITIES{/gold} BESTOW DIFFERENT {gold}INITIAL STATS{/gold} AND MAX LEVEL,{gold}レアリティ{/gold}によって{gold}初期ステータス{/gold}と最大レベルが異なる,DIFERENTES {gold}RAREZAS{/gold} OTORGAN DISTINTAS {gold}ESTADÍSTICAS{/gold} INICIALES
tip_swing,{gold}PULL{/gold} THE CLUB BACK THEN {gold}FLICK{/gold} IT FORWARD TO SWING,クラブを{gold}引いて{/gold}から{gold}フリック{/gold}でスイング,{gold}TIRA{/gold} EL PALO HACIA ATRÁS Y {gold}DESLÍZALO{/gold} HACIA ADELANTE
tip_accuracy,{gold}FLICKER{/gold} THROUGH THE BALL FOR PERFECT ACCURACY,ボールを通して{gold}フリック{/gold}で完璧な精度,{gold}DESLIZA{/gold} A TRAVÉS DE LA BOLA PARA MÁXIMA PRECISIÓN
tip_leaderboard,LOOK FOR THESE ICONS IN {gold}LEADERBOARDS{/gold} FOR LONGEST SHOTS,{gold}リーダーボード{/gold}でこのアイコンを探そう,BUSCA ESTOS ÍCONOS EN LA {gold}TABLA DE CLASIFICACIÓN{/gold}
tip_timing,HIT THE BALL WHEN {gold}HIGHLIGHTED{/gold} FOR A PERFECT SHOT,{gold}ハイライト{/gold}時にボールを打てばパーフェクトショット,GOLPEA CUANDO ESTÉ {gold}ILUMINADO{/gold} PARA UN TIRO PERFECTO
tip_view_switch,{gold}DOUBLE TAP{/gold} TO SWITCH BETWEEN SHOT VIEW AND MAP VIEW,{gold}ダブルタップ{/gold}でショットビューとマップビュー切替,{gold}DOBLE TOQUE{/gold} PARA CAMBIAR ENTRE VISTA DE TIRO Y MAPA
home_currency_label,COINS,コイン,MONEDAS
home_username,USERNAME,ユーザー名,NOMBRE
home_maintenance_title,MAINTENANCE NOTICE,メンテナンスのお知らせ,AVISO DE MANTENIMIENTO
home_maintenance_body,"Scheduled server maintenance: 2025/12/31\nThe game will not be available for a short time\nduring maintenance.",サーバーメンテナンス予定: 2025/12/31\nメンテナンス中はゲームをご利用いただけません。,Mantenimiento programado: 2025/12/31\nEl juego no estará disponible durante el mantenimiento.
home_gps_title,GOLFIN·GPS,GOLFIN·GPS,GOLFIN·GPS
home_gps_subtitle,CHECK-IN WITH GPS,GPSでチェックイン,CHECK-IN CON GPS
home_gps_desc,EARN MORE POINTS TO POWER UP!,もっとポイントを貯めてパワーアップ！,¡GANA MÁS PUNTOS PARA MEJORAR!
home_next_hole,NEXT HOLE,次のホール,SIGUIENTE HOYO
home_course_name,Lomond Country Club  - Hole 5,ロモンドカントリークラブ - ホール5,Lomond Country Club  - Hoyo 5
home_play,PLAY,プレイ,JUGAR
home_nav_home,HOME,ホーム,INICIO
home_nav_shop,SHOP,ショップ,TIENDA
home_nav_play,PLAY,プレイ,JUGAR
home_nav_bag,BAG,バッグ,BOLSA
home_nav_more,MORE,もっと,MÁS
home_settings,SETTINGS,設定,AJUSTES
